状态,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000
空锭,1.95,2.3,2.72,3.22,3.65,4.25,4.8,5.48,6.15,6.77,7.47,8.28,8.83,9.64,10.35,11.25,12.2,13.18,14.1,15.4,16.6
空管,1.9,2.31,2.76,3.29,3.77,4.4,5.07,5.87,6.58,7.3,8.08,8.8,9.5,10.35,11.2,12.1,13.1,14.17,15.2,16.63,18.6
10g纱,2.05,2.49,2.99,3.64,4.26,5.07,5.87,6.83,7.94,9.79,10.26,11.68,12.89,14.54,16.29,18.64,20.24,22.49,24.89,27.89,30.99
20g纱,2.12,2.55,3.06,3.69,4.39,5.34,6.36,7.46,8.53,9.54,10.75,11.89,13.19,14.73,16.35,18.19,20.89,22.19,24.49,27.49,29.49
30g纱,2.13,2.57,3.15,3.79,4.48,5.38,6.35,7.44,8.57,9.85,11.2,12.82,14.28,16.1,18,19.7,22.5,25.6,27.8,30.36,33.9
40g纱,2.07,2.53,3.09,3.75,4.77,5.8,7,8.28,9.65,11.2,13,15.08,17,19.45,21.89,24.8,28,31.6,35.5,39.9,43.8
50g纱,2.17,2.7,3.27,3.99,4.77,5.74,6.79,7.99,9.27,10.67,12.27,13.98,15.79,17.97,20.12,22.82,25.32,28.42,31.72,36.56,39.42
60g纱,2.29,2.89,3.6,4.45,5.46,6.73,8.09,9.72,11.58,13.62,16.14,21.15,19.39,22.32,25.32,28.62,32.12,36.52,41.02,47.12,52.52
